Entry,Gene ontology (biological process),Gene ontology (cellular component),Gene ontology (molecular function)
O13554,GO:0006623,GO:0016021,
P53922,,,
Q8TGP0,,,
Q8TGQ8,,,
P53300,,,
P37264,,GO:0016021,
P25571,,,
P25562,,,
P53826,,,
P38186,,GO:0016021,
P40310,GO:0030007;GO:0071805;GO:0034765;GO:0030322,GO:0005623;GO:0071944;GO:0005887;GO:0005886,GO:0005267;GO:0022841;GO:0005249
P53737,,,
P0C5L1,,,
O13570,,GO:0016021,
A0A023PXB0,,,
O13515,,,
Q00246,GO:0051017;GO:0007015;GO:0030950;GO:0030011;GO:0090338;GO:0032956;GO:0030334;GO:0008360;GO:0090337;GO:0007266,GO:0005938;GO:0032153;GO:0071944;GO:0005935;GO:0005737;GO:0005783;GO:0000131;GO:0043231;GO:0005886,GO:0003924;GO:0005525;GO:0019901
Q06108,GO:0007049;GO:0090372,GO:0005737,GO:0016247
P14908,GO:0006391,GO:0034245;GO:0005758;GO:0005759;GO:0005739,GO:0003677;GO:0008168;GO:0034246;GO:0003723
P32833,GO:0030466;GO:0006348;GO:0006270;GO:0051568;GO:0006267,GO:0000781;GO:0031261;GO:0005664;GO:0005656,GO:0003682;GO:0003688
Q12395,GO:0051443;GO:0045116,GO:0000151,GO:0097602;GO:0030674;GO:0031624;GO:0032182
P09938,GO:0009263;GO:0006260,GO:0005737;GO:0005634;GO:0005971,GO:0008198;GO:0046982;GO:0004748;GO:0008270
P38251,GO:0006261;GO:0006272;GO:0007062,GO:0031390;GO:0005663;GO:0031391;GO:0005634;GO:0031389,GO:0005524;GO:0003677
P36129,,,
P25454,GO:0070192;GO:0000730;GO:0006310;GO:0000724;GO:0030491;GO:0000709;GO:0043504;GO:0006312;GO:1990426;GO:0007131;GO:0042148;GO:0000722,GO:0000794;GO:0005759;GO:0000228,GO:0005524;GO:0003677;GO:0008094;GO:0003690;GO:0042802;GO:0000150;GO:0003697
P06245,GO:0001403;GO:0010607;GO:2000766;GO:0010737;GO:0006468;GO:0007265,GO:0005952;GO:0005829;GO:0000790;GO:0005634;GO:0000932,GO:0005524;GO:0004691;GO:0004672;GO:0031369
P0CY06,GO:0045895;GO:0007532;GO:0006357,GO:0005634,GO:0008301;GO:0003713
Q03180,GO:0031505,GO:0005576;GO:0009277,GO:0005199
P11484,GO:0051083;GO:0042149;GO:0034605;GO:0034620;GO:0051085;GO:0002181;GO:0042026;GO:0006450;GO:0006986;GO:0000054;GO:0006364;GO:0006452;GO:0006415;GO:0016192,GO:0005737;GO:0005829;GO:0005634;GO:0005886;GO:0005844,GO:0016887;GO:0042623;GO:0005524;GO:0005516;GO:0031072;GO:0051787;GO:0044183;GO:0051082
Q05027,GO:0006325;GO:0016573;GO:0043966;GO:0045944;GO:0051123;GO:0006366,GO:0000124;GO:0046695;GO:0005669,GO:0003682;GO:0042802;GO:0060090;GO:0046982;GO:0008134;GO:0044212
P36082,GO:0006974,,
